group,n,mean_gamma,std_gamma,mean_clean_at_best_clean,std_clean_at_best_clean,mean_pgd_at_best_clean,std_pgd_at_best_clean,pearson_gamma_vs_clean_at_best_clean,pearson_gamma_vs_pgd_at_best_clean,spearman_gamma_vs_clean_at_best_clean,spearman_gamma_vs_pgd_at_best_clean,slope_gamma_to_clean_at_best_clean,r2_gamma_to_clean_at_best_clean,slope_gamma_to_pgd_at_best_clean,r2_gamma_to_pgd_at_best_clean
overall,70,36.99516054580516,2.443947613107496,0.42075285714285715,0.07100286526455392,0.17262428571428567,0.038936810331070576,0.06985426280044779,0.047042484680467206,0.0009798089374072096,0.14149243285801769,0.0020294431775763166,0.0048796180313940285,0.0007494777276247235,0.0022129953649120404
baseline,35,36.412833401650865,2.116987712019384,0.4546085714285715,0.08030151771852859,0.14876571428571425,0.024266715801655552,0.21373483131287144,-0.2155881963892449,0.10924369747899161,-0.03669467787114846,0.00810738354610728,0.04568257811634158,-0.002471255483565793,0.04647827042236763
phsim,35,37.57748768995946,2.6346989742296762,0.3868971428571429,0.03772152986195086,0.19648285714285718,0.03627561558008748,0.29033918532211805,-0.08835165156568911,0.19344446190620937,-0.14061624649859944,0.00415684613549633,0.08429684253351111,-0.001216461758785879,0.007806014334385214
