method,seed,up_epoch,gamma,downstream_csv,best_clean_lin_epoch,clean_at_best_clean,pgd_at_best_clean,last_lin_epoch,clean_at_last,pgd_at_last,pgd_best_over_lin
baseline,1,21,33.52140665636788,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE21/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,9,0.4962,0.1387,10,0.4959,0.14,0.1686
baseline,1,22,35.236172423956084,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE22/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.5101,0.1534,10,0.5101,0.1534,0.1744
baseline,1,23,34.6211367610937,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE23/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,9,0.5098,0.1507,10,0.5044,0.1517,0.1589
baseline,1,24,36.91447407605228,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE24/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.5088,0.1325,10,0.5088,0.1325,0.1661
baseline,1,25,36.98155229875676,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE25/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.5091,0.1312,10,0.5091,0.1312,0.1559
baseline,1,26,39.55546062904838,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE26/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,6,0.5274,0.1594,10,0.522,0.1535,0.1893
baseline,1,27,35.75393323003469,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE27/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,9,0.5215,0.1402,10,0.5215,0.1448,0.1658
baseline,1,28,35.24231973693528,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE28/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,7,0.5281,0.1491,10,0.5274,0.1512,0.1717
baseline,1,29,37.92280050529971,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE29/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.5472,0.1553,10,0.5472,0.1553,0.1911
baseline,1,30,36.77366643572602,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/baseline/seed1/upE30/logs/downstream/baseline/seed1/lin_history_baseline_resnet18.csv,10,0.5374,0.1636,10,0.5374,0.1636,0.1908
phsim,0,10,37.88467761996376,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed0/upE10/logs/downstream/phsim/seed0/lin_history_phsim_resnet18.csv,8,0.3709,0.2111,10,0.3682,0.2038,0.2111
phsim,0,20,36.48214629446017,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed0/upE20/logs/downstream/phsim/seed0/lin_history_phsim_resnet18.csv,7,0.4266,0.1778,10,0.4236,0.1813,0.1813
phsim,0,30,35.004926213256866,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed0/upE30/logs/downstream/phsim/seed0/lin_history_phsim_resnet18.csv,10,0.4366,0.1407,10,0.4366,0.1407,0.1431
phsim,0,40,34.97089108418164,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed0/upE40/logs/downstream/phsim/seed0/lin_history_phsim_resnet18.csv,8,0.4445,0.1131,10,0.4356,0.1219,0.1376
phsim,0,50,33.73706746424844,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed0/upE50/logs/downstream/phsim/seed0/lin_history_phsim_resnet18.csv,10,0.4596,0.1251,10,0.4596,0.1251,0.1562
phsim,1,1,32.04180119821362,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE1/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3134,0.2359,10,0.3134,0.2359,0.236
phsim,1,2,33.461804223009416,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE2/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3101,0.2286,10,0.3101,0.2286,0.2286
phsim,1,3,35.82758531433654,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE3/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.3078,0.2184,10,0.3076,0.2237,0.2237
phsim,1,4,37.61159846298685,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE4/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.3458,0.2517,10,0.3416,0.2531,0.2544
phsim,1,5,35.15522332515588,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE5/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3293,0.2211,10,0.3293,0.2211,0.2245
phsim,1,6,33.35204102021973,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE6/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3492,0.2424,10,0.3492,0.2424,0.2628
phsim,1,7,35.093940555613905,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE7/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3559,0.2351,10,0.3559,0.2351,0.2446
phsim,1,8,34.18154090635787,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE8/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3682,0.2438,10,0.3682,0.2438,0.2447
phsim,1,9,37.06551042888535,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE9/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3585,0.226,10,0.3585,0.226,0.2288
phsim,1,10,38.71370596550256,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE10/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3769,0.2384,10,0.3769,0.2384,0.2384
phsim,1,11,38.1971249688194,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE11/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,8,0.3764,0.2274,10,0.3733,0.2311,0.2311
phsim,1,12,38.72278539315474,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE12/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3752,0.2268,10,0.3752,0.2268,0.2324
phsim,1,13,40.28747915045146,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE13/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.3752,0.2088,10,0.3752,0.2166,0.2247
phsim,1,14,40.382366496061046,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE14/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,4,0.3691,0.2331,10,0.3689,0.1942,0.2331
phsim,1,15,36.54250070258884,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE15/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3916,0.2147,10,0.3916,0.2147,0.2147
phsim,1,16,41.99848921488233,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE16/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.381,0.1904,10,0.3781,0.189,0.1929
phsim,1,17,38.77437489404702,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE17/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3784,0.1822,10,0.3784,0.1822,0.2017
phsim,1,18,39.397876421971205,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE18/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.3999,0.2045,10,0.3999,0.2045,0.2076
phsim,1,19,41.83088928689113,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE19/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,6,0.401,0.215,10,0.3962,0.187,0.215
phsim,1,20,38.42381527925742,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE20/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,8,0.3971,0.1932,10,0.3939,0.1858,0.1987
phsim,1,21,39.88344389319568,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE21/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,8,0.3981,0.1787,10,0.3981,0.1718,0.1854
phsim,1,22,42.733467458164135,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE22/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.4112,0.1723,10,0.4112,0.1723,0.1921
phsim,1,23,40.79216430059523,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE23/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.4107,0.1848,10,0.4107,0.1848,0.1895
phsim,1,24,39.788288995691566,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE24/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.4146,0.176,10,0.4146,0.176,0.1908
phsim,1,25,37.439823825100575,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE25/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.4143,0.1623,10,0.4135,0.1595,0.1785
phsim,1,26,36.26003726559572,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE26/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.4161,0.1591,10,0.4131,0.1567,0.183
phsim,1,27,37.96295163754331,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE27/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.4191,0.1604,10,0.4191,0.1604,0.1754
phsim,1,28,37.99840015519212,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE28/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.4204,0.1573,10,0.4204,0.1573,0.1851
phsim,1,29,39.12692049100648,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE29/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,10,0.4143,0.1595,10,0.4143,0.1595,0.1945
phsim,1,30,38.08440924197903,/home/zhiyichen/SimCLR-CIFAR10-PH/logs/downstream/phsim/seed1/upE30/logs/downstream/phsim/seed1/lin_history_phsim_resnet18.csv,9,0.4244,0.1612,10,0.4165,0.1587,0.1768
